Crop_Year,2014,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sum of Production,Column Labels,,,,,,,,,,,,,,,,,,,,
Row Labels,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Jammu and Kashmir ,Karnataka,Kerala,Maharashtra,Meghalaya,Nagaland,Odisha,Punjab,Sikkim,Telangana ,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Grand Total
Arecanut,,,,,,2895,,2181441,125926,,25725,,,,,,,,,,2335987
Arhar/Tur,75784,,5738,28542,35064,,,474035,1903,353800,1465,2710,,23900,,108665,1820,173971,2854,2942,1293193
Bajra,38499,,,3729,91,,9393.8,248601,,540161,,700,,,,10510,,1808081,2,48,2659815.8
Banana,,,865669,,39983,26882,,,545431,,87186,,,,,71988,,110118,,,1747257
Barley,,,,13434,2703,,9.5,,,,,540,,39400,499,,,287779,24800,3457,372621.5
Bean,,,,,,,,,,,,3160,,,,,,,,,3160
Black pepper,,,5898,,,244,,191866,40690,,705,,,,,,,,,,239403
Blackgram,,,,,,,,,39141,,,640,,,,,,,,,39781
Brinjal,211622,,,,,,,,,,,,,,,,,,,,211622
Cabbage,17892,,,,,,,,,,,,,,,,,,,,17892
Cardamom,,,,,,,,2170,16000,,,,,,,,,,,,18170
Cashewnut,39834,,,,,25011,,47707,29715,,18122,,,,,2290,,,,,162679
Castor seed,28388,,556,92,506,,,7243,,57181,58,210,,,,29300,,,,48,123582
Coconut ,2091669000,,,,27490,1278,,3931007,5946000000,,,,,,,9264,,,,,8041638039
Coriander,20781,,,,1191,,,1699,,,,,,,,382,,4073,,,28126
Cotton(lint),2751284,,428,,75,,,2313338,,3577100,9024,70,,1342000,,3583327,1347,1886,,1574,13581453
Cowpea(Lobia),12600,,,,,,,31776.1,28902,,2372,720,,,,9896,,,,,86266.1
Drum Stick,,,,,,,,,334,,,,,,,,,,,,334
Dry chillies,739621,7500,17287,,3576,,346.3,118488,,,1970,,,,,253260,,10951,,,1152999.3
Dry ginger,1221,60000,,,2188,,28.9,894354,22989,,63555,,,,,,,4354,,,1048689.9
Garlic,,,,,2824,,,5191,625,,,,,,,,,196134,1934,,206708
Ginger,,,142093,,,,,,,,,33020,,,,16540,,4354,43220,,239227
Gram,390967,,1956,57490,312642,,,674688,,1087700,1871,,,19800,,81277,131,221120,514,30844,2881000
Grapes,7956,,,,,,,,,,,,,,,,,,,,7956
Groundnut,492523,,,587,40762,4311,,501768,692,380169,,880,61953.3,26000,,295235,801,84595,1306,155450,2047032.3
Guar seed,,,,,,,,,,,,,,21200,,,,1677,,,22877
Horse-gram,15783.7,,,7960,15401,,,87176,37601,,,480,13213.3,,,953,,,9783,1031,189382
Jowar,344475,,,1550,4230,,,1173303,128,2108800,,230,,,,83267,,162865,,8,3878856
Jute,,,767548,1418710,27838,,,,,,66256,5790,1717.4,,,,5564,,,8808271,11101694.4
Khesari,,,,60055,298897,,,,,,,,,,,,,,,41047,399999
Lemon,173034,,,,,,,,,,,,,,,,,,,,173034
Lentil,,,,,,,,,,,,1730,,,,,,,7352,,9082
Linseed,174,,3948,14155,13742,,,1568,,10205,50,4670,,,,18,,14267,1,1931,64729
Maize,1938073,75000,93179,2478745,235014,,359960,4213579,810,2209733,40764,135940,188199.1,460000,68890,2308051,5963,1279257,49215,649884,16790256.1
Mango,1960793,,,,,8887,,,20707,,,,,,,,,,,,1990387
Masoor,,,22524,140063,7002,,8.1,,,,1318,,,4700,,21,1902,235142,7352,63516,483548.1
Mesta,47416,,25716,218409,2059,,,293,,,26384,2040,,,,1255,5079,,,112503,441154
Moong(Green Gram),141755,,7757,99957,5579,,283.5,52549,7366,146235,,350,105021.3,31000,,44854,693,47775.5,19,21746,712940.3
Moth,,,,,,,,,,,,,,,,,,,16,14,30
Niger seed,2376,,4427,,11349,,,2885,,31111.2,,,,,,,,,,2959,55107.2
Oilseeds total,,33950,,,,,,,,,,69500,,,,,,,,,103450
Onion,625790,,32421,,42902,,99,969964,795,,,,,,,314847,,323522,14786,,2325126
Orange,,,202378,,,,,,,,,,,,,,,,,,202378
Other  Rabi pulses,11779,,,1049,31027,7871,,5539,,42152,,11640,,,,141,462,,5,133,111798
Other Cereals & Millets,,,,,,,213.1,,,,,,,,,,,,1117,,1330.1
Other Fresh Fruits,,,,,,48604,,,,,,,,,,,,,,,48604
Other Kharif pulses,5981,,,2143,5203,186,432.6,46736,,66288.5,,12520,,,2890,75,792,,11859,636,155742.1
other oilseeds,1307544,,,,,,,,,,,,,,,92269,,,289,,1400102
Other Vegetables,,,,,,82001,,,,,,,,,,,,,,,82001
Paddy,,,5222645,,,,,,,,,,,,,,,,,,5222645
Papaya,421069,,148857,,,,,,7925,,,,,,,,,,,,577851
Peas & beans (Pulses),,,27676,17313,5154,,21.7,,,,4280,7800,,25600,,,1731,314196,5393,16778,425942.7
Pineapple,,,281271,,,6085,,,681,,,,,,,,,,,,288037
Pome Granet,20185,,,,,,,,,,,,,,,,,,,,20185
Potato,23936,42000,783768,,74626,,17410.6,327333,15811,,182285,73370,104080.1,,,41069,,12986412,120673,13908049,28700822.7
Pulses total,,,,,,,,,,,,,,,,,,,109090,,109090
Pump Kin,,,,,,,,,273911,,,,,,,,,,,,273911
Ragi,34400,,,9843,2574,10.8,,1299138,78,119000,,300,38015.4,,,1748,,,149033,11094,1665234.2
Rapeseed &Mustard,3203,,187522,92891,24586,,36.5,757,,,9346,27600,2470.2,38700,3212,3962,4925,486228,9963,479647,1375048.7
Rice,16911168,189992,5222645,8241624,7977746,120505,344823,4027747,562092,2948607,235551,454190,9840000,11107000,20070,4544982,746954,13316967,1201720,15927196,103941579
Safflower,248,,,82,393,,,26767,,27582.93,,,,,,3100,,,,421,58593.93
Sannhamp,,,,1096,3416,,19.1,76,,,,,,,,,,710,,3361,8678.1
Sapota,73497,,,,,,,,,,,,,,,,,,,,73497
